Prix de vente,Type de logement,Zonage (Classification),Façade (en pieds),Superficie du lot (pieds²),Type de route,Forme du lot,Topographie du terrain,Services publics disponibles,Configuration du lot,Inclinaison du terrain,Quartier,Proximité (1ère condition),Proximité (2e condition),Type de bâtiment,Style de maison,Qualité globale,État général,Année de construction,Année de rénovation,Style de toit,Matériau du toit,Revêtement extérieur (1),Revêtement extérieur (2),Surface de parement (pieds²),Qualité extérieure,État extérieur,Type de fondation,Qualité du sous-sol,État général du sous-sol,Exposition du sous-sol,Type de finition sous-sol (1),Surface finie sous-sol,Type de finition sous-sol (2),Surface finie sous-sol 2,Surface non finie sous-sol,Total surface sous-sol,Type de chauffage,Qualité du chauffage,Climatisation centrale,Système électrique,Surface du premier étage,Surface du deuxième étage,Surface finie basse qualité (pieds²),Surface habitable totale,Salles de bain complètes sous-sol,Demi-salles de bain sous-sol,Salles de bain complètes,Demi-salles de bain
12.24769911637256,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,65.0,8450.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,2003.0,2003.0,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,196.0,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,706.0,Unf,0.0,150.0,856.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,856.0,854.0,0.0,1710.0,1.0,0.0,2.0,1.0
12.109016442313738,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,80.0,9600.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Double façade,Pente douce,Veenker,Proche d'une route secondaire,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Très bon,1976.0,1976.0,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,0.0,Moyen,Moyen,CBlock,Bon,Moyen,Bonne exposition,Fini - Moyenne,978.0,Unf,0.0,284.0,1262.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1262.0,0.0,0.0,1262.0,0.0,1.0,2.0,0.0
12.317171167298682,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,68.0,11250.0,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,2001.0,2002.0,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,162.0,Bon,Moyen,PConc,Bon,Moyen,Exposition moyenne,Fini - Excellent,486.0,Unf,0.0,434.0,920.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,920.0,866.0,0.0,1786.0,1.0,0.0,2.0,1.0
11.849404844423074,2 ÉTAGES 1945 ET PLUS ANCIEN,Résidentiel basse densité,60.0,9550.0,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Crawford,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,1916.0,1970.0,Pignon,Bardeau composite standard,Revêtement en bois,,0.0,Moyen,Moyen,BrkTil,Moyen,Bon,Aucune exposition,Fini - Moyenne,216.0,Unf,0.0,540.0,756.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,961.0,756.0,0.0,1717.0,1.0,0.0,1.0,0.0
12.429220196836383,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,84.0,14260.0,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Double façade,Pente douce,Northridge,Normale,Normale,Maison individuelle,Deux étages,Très bon,Moyenne,2000.0,2000.0,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,350.0,Bon,Moyen,PConc,Bon,Moyen,Exposition au niveau moyen,Fini - Excellent,655.0,Unf,0.0,490.0,1145.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1145.0,1053.0,0.0,2198.0,1.0,0.0,2.0,1.0
11.870606902224587,1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel basse densité,85.0,14115.0,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Mitchell,Normale,Normale,Maison individuelle,"Un étage et demi, aménagé",Moyenne,Moyenne,1993.0,1995.0,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,0.0,Moyen,Moyen,Wood,Bon,Moyen,Aucune exposition,Fini - Excellent,732.0,Unf,0.0,64.0,796.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,796.0,566.0,0.0,1362.0,1.0,0.0,1.0,1.0
12.634606283893019,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,75.0,10084.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Somerset,Normale,Normale,Maison individuelle,Un étage,Très bon,Moyenne,2004.0,2005.0,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,186.0,Bon,Moyen,PConc,Excellent,Moyen,Exposition au niveau moyen,Fini - Excellent,1274.0,Unf,0.0,317.0,1686.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1694.0,0.0,0.0,1694.0,1.0,0.0,2.0,0.0
12.206077645517674,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,69.0,10382.0,Pavé,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Northwest Ames,Proche d'un espace vert ou parc,Normale,Maison individuelle,Deux étages,Bon,Au-dessus de la moyenne,1973.0,1973.0,Pignon,Bardeau composite standard,Panneau dur,Panneau dur,240.0,Moyen,Moyen,CBlock,Bon,Moyen,Exposition moyenne,Fini - Moyenne,859.0,BLQ,32.0,216.0,1107.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1107.0,983.0,0.0,2090.0,1.0,0.0,2.0,1.0
11.774527900858468,1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel densité moyenne,51.0,6120.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Vieille Ville,Proche d'une artère principale,Normale,Maison individuelle,"Un étage et demi, aménagé",Bon,Moyenne,1931.0,1950.0,Pignon,Bardeau composite standard,Brique apparente,,0.0,Moyen,Moyen,BrkTil,Moyen,Moyen,Aucune exposition,Non fini,0.0,Unf,0.0,952.0,952.0,Chauffage à gaz,Bon,Oui,Fusibles,1022.0,752.0,0.0,1774.0,0.0,0.0,2.0,0.0
11.678448377988165,2 ÉTAGES PUD - 1946 ET PLUS RÉCENT,Résidentiel basse densité,50.0,7420.0,Pavé,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Brookside,Proche d'une artère principale,Proche d'une artère principale,Conversion deux familles,"Un étage et demi, non aménagé",Moyenne,Au-dessus de la moyenne,1939.0,1950.0,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,0.0,Moyen,Moyen,BrkTil,Moyen,Moyen,Aucune exposition,Fini - Excellent,851.0,Unf,0.0,140.0,991.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1077.0,0.0,0.0,1077.0,1.0,0.0,1.0,0.0
